lookback_window,forecast_date,start_price,actual_final_price,median_mc_final_price,mean_mc_final_price,p16_final,p84_final,p025_final,p975_final,in_68_band,in_95_band,abs_pct_error_final,prob_mc_final_below_actual,prob_mc_final_above_actual,mu_daily_used,sigma_daily_used,ann_mu_used,ann_vol_used,n_sims,horizon_days,step_days
30,2025-10-21,17.62841796875,12.877442359924316,10.233246803283691,12.221106274604796,5.956890106201172,18.304777145385742,3.3825786113739014,31.279245376586914,True,True,20.53354604691987,0.64,0.36,-0.003735465455921699,0.061323495744719556,-1.3634448914114201,1.1715837411720567,1000,90,1
30,2025-10-22,17.207212448120117,12.113679885864258,9.520178318023682,11.368678028225899,5.3966450691223145,17.09836769104004,3.2163002490997314,31.412982940673828,True,True,21.409692118965395,0.651,0.349,-0.004431039485171864,0.06197016280689618,-1.6173294120877304,1.1839382980478013,1000,90,1
30,2025-10-23,17.41607666015625,12.386194229125977,10.230849742889404,12.047141538500785,5.526796817779541,18.165016174316406,3.1619019508361816,30.780380249023438,True,True,17.401184305412453,0.628,0.372,-0.0038358210875594516,0.061295336718007874,-1.4000746969591997,1.1710457637221088,1000,90,1
30,2025-10-24,17.87808609008789,12.242456436157227,11.376789569854736,12.938202154517175,6.249608516693115,18.988235473632812,3.5289204120635986,33.74187469482422,True,True,7.071022640079027,0.557,0.443,-0.0035455552822163876,0.06140045861984201,-1.2941276780089814,1.1730541148367069,1000,90,1
30,2025-10-25,18.01698112487793,12.208968162536621,11.441258907318115,13.776003102779388,6.271571159362793,20.92404556274414,3.898650646209717,38.27717208862305,True,True,6.288076477865112,0.539,0.461,-0.0031678898077718972,0.06167428838581997,-1.1562797798367426,1.178285625170107,1000,90,1
30,2025-10-26,18.540292739868164,12.193202018737793,13.189641952514648,15.51919940662384,7.691305637359619,23.014240264892578,4.43027400970459,41.61119842529297,True,True,8.17209402620891,0.443,0.557,-0.0018304298658862643,0.06043303998267214,-0.6681069010484865,1.1545716077250237,1000,90,1
30,2025-10-27,18.216867446899414,11.505537986755371,12.944252014160156,15.106697851657868,7.260488033294678,23.541292190551758,4.216063499450684,37.88988494873047,True,True,12.504535025315322,0.427,0.573,-0.0021443061873316657,0.059979774445488965,-0.782671758376058,1.1459119817961945,1000,90,1
30,2025-10-28,17.840238571166992,11.942946434020996,12.236103057861328,14.593757462024689,7.045486927032471,22.026315689086914,4.1627960205078125,40.156002044677734,True,True,2.4546423737214385,0.486,0.514,-0.0023123789614522775,0.060026713668996395,-0.8440183209300813,1.1468087544021377,1000,90,1
30,2025-10-29,18.110286712646484,12.035913467407227,11.478608131408691,13.650452426195145,6.837648391723633,19.740835189819336,3.9108481407165527,35.986671447753906,True,True,4.630353462640757,0.538,0.462,-0.0032496074472081415,0.05961220054619508,-1.1861067182309717,1.1388894923105226,1000,90,1
30,2025-10-30,16.80474281311035,11.832648277282715,11.319278717041016,13.300340171694755,6.317115783691406,19.806655883789062,3.697744607925415,35.83912658691406,True,True,4.338585481555368,0.541,0.459,-0.003051648775526,0.05971781822342456,-1.11385180306699,1.1409073152007494,1000,90,1
